Location,Longitude,Latitude
Perryton,-101.02470052361983,36.32701427923372
Keyes,-102.47985444463642,36.705978766213086
Humphrey,-91.80708973720257,34.36658888478779
Humnoke,-91.80412447795365,34.44422138471302
Tolono,-88.32141777712889,39.92146153251723
Villa Grove,-88.23558708865232,39.806829093051455
Colby,-101.28870460040494,39.144208780466904
Bouldin Island,-121.58199130224611,38.06496490947107
Durham,-121.92015157487668,39.55135278884948
Glenn,-122.11205540761719,39.46566100042847
Mead,-96.77121134015097,41.013951829451806
Williams,-93.8896589180172,42.30511650345017
Morris,-96.29291659708188,45.36534954363583
Prairie View,-96.05162062145251,30.038114109607044
